Saya bersedia menjadi responden dalam penelitian ini dan memahami bahwa data yang diberikan hanya akan digunakan untuk keperluan akademik serta dijaga kerahasiaannya.  ,NIM/NPM (Nomor Induk/Pokok Mahasiswa),Preferensi Wisata,Budget,Transportasi,Durasi Perjalanan,Subpreferensi_Utama,Motor,Mobil,Umum,Budget_Ordinal,Durasi_Ordinal,Cluster_ID
"Ya, saya bersedia mengikuti survei ini.",51423229,Wisata Edukasi,Kurang dari Rp50.000,"Sepeda Motor Pribadi, Mobil Pribadi",1 hari (tanpa menginap),Galeri Seni,1,1,0,0,0,0
"Ya, saya bersedia mengikuti survei ini.",51423450,Wisata Kuliner,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,2 hari/Menginap,Restoran,0,0,1,2,1,3
"Ya, saya bersedia mengikuti survei ini.",10223048,Wisata Alam,Lebih dari Rp300.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Goa,1,0,0,3,0,0
"Ya, saya bersedia mengikuti survei ini.",140810230011,Wisata Hiburan,Rp50.000 – Rp150.000,Mobil Pribadi,2 hari/Menginap,Theme Park/Wahana,0,1,0,1,1,1
"Ya, saya bersedia mengikuti survei ini.",2301020052,Wisata Alam,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Pantai,1,0,0,1,0,0
"Ya, saya bersedia mengikuti survei ini.",G6401231097,Wisata Alam,Kurang dari Rp50.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Pantai,1,0,0,0,0,0
"Ya, saya bersedia mengikuti survei ini.",223230022,Wisata Alam,Rp150.000 – Rp300.000,"Sepeda Motor Pribadi, Transportasi Umum Konvensional",2 hari/Menginap,Pegunungan,1,0,1,2,1,3
"Ya, saya bersedia mengikuti survei ini.",1247050134,Wisata Hiburan,Rp150.000 – Rp300.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Theme Park/Wahana,0,0,1,2,0,3
"Ya, saya bersedia mengikuti survei ini.",320230401001,Wisata Alam,Kurang dari Rp50.000,Transportasi Umum Konvensional,1 hari (tanpa menginap),Goa,0,0,1,0,0,3
"Ya, saya bersedia mengikuti survei ini.",251240001679,Wisata Edukasi,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Galeri Seni,1,0,0,1,0,0
"Ya, saya bersedia mengikuti survei ini.",231401032,Wisata Kuliner,Rp50.000 – Rp150.000,"Sepeda Motor Pribadi, Mobil Pribadi, Transportasi Umum Konvensional",1 hari (tanpa menginap),Street Food,1,1,1,1,0,2
"Ya, saya bersedia mengikuti survei ini.",50423080,Wisata Alam,Lebih dari Rp300.000,"Sepeda Motor Pribadi, Mobil Pribadi, Transportasi Umum Konvensional",2 hari/Menginap,Pegunungan,1,1,1,3,1,2
"Ya, saya bersedia mengikuti survei ini.",50423630,Wisata Kuliner,Rp150.000 – Rp300.000,"Sepeda Motor Pribadi, Mobil Pribadi, Transportasi Umum Konvensional",1 hari (tanpa menginap),Restoran,1,1,1,2,0,2
"Ya, saya bersedia mengikuti survei ini.",50423681,Wisata Hiburan,Lebih dari Rp300.000,Mobil Pribadi,2 hari/Menginap,Theme Park/Wahana,0,1,0,3,1,1
"Ya, saya bersedia mengikuti survei ini.",50423861,Wisata Kuliner,Rp150.000 – Rp300.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Restoran,1,0,0,2,0,0
"Ya, saya bersedia mengikuti survei ini.",50423903,Wisata Alam,Rp50.000 – Rp150.000,"Sepeda Motor Pribadi, Transportasi Umum Konvensional",1 hari (tanpa menginap),Pegunungan,1,0,1,1,0,3
"Ya, saya bersedia mengikuti survei ini.",51423424,Wisata Kota/Urban,Rp50.000 – Rp150.000,Sepeda Motor Pribadi,2 hari/Menginap,Spot Foto Kontemporer,1,0,0,1,1,0
"Ya, saya bersedia mengikuti survei ini.",0110224019,Wisata Alam,Kurang dari Rp50.000,Sepeda Motor Pribadi,1 hari (tanpa menginap),Goa,1,0,0,0,0,0
